date,user,conversion,experiment,time_spend
4/17/20,495123,0,B,22
4/16/20,412938,0,B,10
4/15/20,787554,0,B,20
4/14/20,158658,0,B,22
4/13/20,385514,0,B,10
4/12/20,834489,0,B,20
4/11/20,405325,0,B,22
4/10/20,424691,0,B,10
4/9/20,527336,0,B,20
4/8/20,68069,0,B,22
4/7/20,504953,0,B,10
4/6/20,260359,0,A,20
4/5/20,546805,1,A,22
4/4/20,872965,0,A,10
4/3/20,508680,0,A,20
4/2/20,829882,1,A,22
4/1/20,328124,1,A,10
3/31/20,561954,1,A,20
3/30/20,505043,1,A,22
3/29/20,812290,0,A,10
3/28/20,875553,0,A,20
3/27/20,383053,0,A,22
3/26/20,13872,1,A,10
3/25/20,660916,1,A,20
3/24/20,128921,0,A,22
3/23/20,706345,0,A,10
3/22/20,345510,0,A,20
3/21/20,326255,0,A,22
3/20/20,587160,1,A,10
3/19/20,191371,0,B,20
3/18/20,298049,0,B,22
3/17/20,223460,0,B,10
3/16/20,653042,0,B,20
3/15/20,587773,0,B,22
3/14/20,28963,0,B,10
3/13/20,825280,0,B,20
3/12/20,107669,0,B,22
3/11/20,678158,0,B,10
3/10/20,228386,0,B,20
3/9/20,103050,0,B,22
3/8/20,439212,0,B,10
3/7/20,916081,0,B,20
3/6/20,731852,0,B,22
3/5/20,479616,0,B,10
3/4/20,817928,0,B,20
3/3/20,660208,0,B,22
3/2/20,832644,0,B,10
3/1/20,590472,0,B,20
2/29/20,28364,0,B,22
2/28/20,587952,0,B,10
2/27/20,213545,0,B,20
2/26/20,931343,0,A,22
2/25/20,34058,1,A,10
2/24/20,434698,0,A,20
2/23/20,600198,0,A,22
2/22/20,278295,1,A,10
2/21/20,681596,1,A,20
2/20/20,3133,1,A,22
2/19/20,913941,1,A,10
2/18/20,141194,0,A,20
2/17/20,221605,0,A,22
2/16/20,904068,0,A,10
2/15/20,355363,1,A,20
2/14/20,409066,1,A,22
2/13/20,223527,0,A,10
2/12/20,816203,0,A,20
2/11/20,857900,0,A,22
2/10/20,120952,0,A,10
2/9/20,333766,1,A,20
2/8/20,764858,0,B,22
2/7/20,766459,0,B,10
2/6/20,488015,0,B,20
2/5/20,118955,0,B,22
2/4/20,44859,0,B,10
2/3/20,397941,0,B,20
2/2/20,937849,1,B,22
2/1/20,794145,0,B,10
1/31/20,845156,0,B,20
1/30/20,239635,0,B,22
1/29/20,648239,0,B,10
1/28/20,806811,0,B,20
1/27/20,575010,0,B,22
1/26/20,518787,0,B,10
1/25/20,689524,0,B,20
1/24/20,16271,0,B,22
1/23/20,761113,0,B,10
1/22/20,876571,0,B,20
1/21/20,655807,0,B,22
1/20/20,474094,0,B,10
1/19/20,993926,0,B,20
1/18/20,740688,0,B,22
1/17/20,529967,0,A,10
1/16/20,184074,1,A,20
1/15/20,829934,0,A,22
1/14/20,900514,0,A,10
1/13/20,494271,1,A,20
1/12/20,409662,1,A,22
1/11/20,232388,1,A,10
1/10/20,155200,1,A,20
1/9/20,162180,0,A,22
1/8/20,20664,0,A,10
1/7/20,829320,0,A,20
1/6/20,44380,1,A,22
1/5/20,779125,1,A,10
1/4/20,958396,0,A,20
1/3/20,506692,0,A,22
1/2/20,684176,0,A,10
1/1/20,50514,0,A,20
12/31/19,936430,1,A,22
12/30/19,496812,0,B,10
12/29/19,824444,0,B,20
12/28/19,911681,0,B,22
12/27/19,586311,0,B,10
12/26/19,891491,0,B,20
12/25/19,967110,0,B,22
12/24/19,17882,0,B,10
12/23/19,854475,0,B,20
12/22/19,918857,0,B,22
12/21/19,459776,0,B,10
12/20/19,397151,0,B,20
12/19/19,276876,0,B,22
12/18/19,855039,0,B,10
12/17/19,833906,0,B,20
12/16/19,809027,0,B,22
12/15/19,135954,0,B,10
12/14/19,696486,0,B,20
12/13/19,183781,0,B,22
12/12/19,445079,0,B,10
12/11/19,422263,0,B,20
12/10/19,623425,0,B,22
12/9/19,266113,0,B,10
12/8/19,792423,0,A,20
12/7/19,112082,1,A,22
12/6/19,392754,0,A,10
12/5/19,555570,0,A,20
12/4/19,981098,1,A,22
12/3/19,155843,1,A,10
12/2/19,296282,1,A,20
12/1/19,2078,1,A,22
11/30/19,413017,0,A,10
11/29/19,334161,0,A,20
11/28/19,69895,0,A,22
11/27/19,78965,1,A,10
11/26/19,188809,1,A,20
11/25/19,897463,0,A,22
11/24/19,601647,0,A,10
11/23/19,514140,0,A,20
11/22/19,85772,0,A,22
11/21/19,216614,1,A,10
11/20/19,399458,0,B,20
11/19/19,527211,0,B,22
11/18/19,595791,0,B,10
11/17/19,236273,0,B,20
11/16/19,710345,0,B,22
11/15/19,145957,0,B,10
11/14/19,286023,0,B,20
11/13/19,550799,0,B,22
11/12/19,771412,0,B,10
11/11/19,456397,0,B,20
11/10/19,524635,0,B,22
11/9/19,778683,0,B,10
11/8/19,449937,0,B,20
11/7/19,742717,0,B,22
11/6/19,675269,0,B,10
11/5/19,240359,0,B,20
11/4/19,976477,1,B,22
11/3/19,937802,0,B,10
11/2/19,846365,0,B,20
11/1/19,822847,0,B,22
10/31/19,32452,0,B,10
10/30/19,892072,0,B,20
10/29/19,951918,0,A,22
10/28/19,718938,1,A,10
10/27/19,681244,0,A,20
10/26/19,711367,0,A,22
10/25/19,899281,1,A,10
10/24/19,762392,1,A,20
10/23/19,660128,1,A,22
10/22/19,482269,1,A,10
10/21/19,540942,0,A,20
10/20/19,442381,0,A,22
10/19/19,775527,0,A,10
10/18/19,759170,1,A,20
10/17/19,681441,1,A,22
10/16/19,782800,0,A,10
10/15/19,179701,0,A,20
10/14/19,118286,0,A,22
10/13/19,1294,0,A,10
10/12/19,15042,1,A,20
10/11/19,428494,0,B,22
10/10/19,428272,0,B,10
10/9/19,326139,0,B,20
10/8/19,968825,0,B,22
10/7/19,356391,0,B,10
10/6/19,556398,0,B,20
10/5/19,568143,0,B,22
10/4/19,491628,0,B,10
10/3/19,901727,0,B,20
10/2/19,328305,0,B,22
10/1/19,372449,0,B,10
9/30/19,84222,0,B,20
9/29/19,977519,0,B,22
9/28/19,653549,0,B,10
9/27/19,934928,0,B,20
9/26/19,338841,0,B,22
9/25/19,701024,0,B,10
9/24/19,725839,0,B,20
9/23/19,770926,0,B,22
9/22/19,569591,0,B,10
9/21/19,579556,0,B,20
9/20/19,769621,0,B,22
9/19/19,101955,0,A,10
9/18/19,919068,1,A,20
9/17/19,88966,0,A,22
9/16/19,57984,0,A,10
9/15/19,960347,1,A,20
9/14/19,900185,1,A,22
9/13/19,679794,1,A,10
9/12/19,701531,1,A,20
9/11/19,540958,0,A,22
9/10/19,100636,0,A,10
9/9/19,111408,0,A,20
9/8/19,869893,1,A,22
9/7/19,916967,1,A,10
9/6/19,950689,0,A,20
9/5/19,873794,0,A,22
9/4/19,858515,0,A,10
9/3/19,683994,0,A,20
9/2/19,486936,1,A,22
9/1/19,707215,0,B,10
8/31/19,177894,0,B,20
8/30/19,274993,0,B,22
8/29/19,739624,0,B,10
8/28/19,81396,0,B,20
8/27/19,103672,0,B,22
8/26/19,104367,0,B,10
8/25/19,505502,0,B,20
8/24/19,933499,0,B,22
8/23/19,975116,0,B,10
8/22/19,460862,0,B,20
8/21/19,348477,0,B,22
8/20/19,618675,0,B,10
8/19/19,9930,0,B,20
8/18/19,18378,0,B,22
8/17/19,98645,0,B,10
8/16/19,181294,0,B,20
8/15/19,34515,0,B,22
8/14/19,164904,0,B,10
8/13/19,673989,0,B,20
8/12/19,472194,0,B,22
8/11/19,759991,0,B,10
8/10/19,500616,0,A,20
8/9/19,302758,1,A,22
8/8/19,399286,0,A,10
8/7/19,979959,0,A,20
8/6/19,932884,1,A,22
8/5/19,402980,1,A,10
8/4/19,669371,1,A,20
8/3/19,109255,1,A,22
8/2/19,498866,0,A,10
8/1/19,553119,0,A,20
7/31/19,920883,0,A,22
7/30/19,230657,1,A,10
7/29/19,942465,1,A,20
7/28/19,494427,0,A,22
7/27/19,856528,0,A,10
7/26/19,515587,0,A,20
7/25/19,661161,0,A,22
7/24/19,690404,1,A,10
7/23/19,568411,0,B,20
7/22/19,579027,0,B,22
7/21/19,852728,0,B,10
7/20/19,697136,0,B,20
7/19/19,122855,0,B,22
7/18/19,193233,0,B,10
7/17/19,679982,0,B,20
7/16/19,389906,0,B,22
7/15/19,748360,0,B,10
7/14/19,543113,0,B,20
7/13/19,666468,0,B,22
7/12/19,75352,0,B,10
7/11/19,12818,0,B,20
7/10/19,127014,0,B,22
7/9/19,755954,0,B,10
7/8/19,295756,0,B,20
7/7/19,781177,0,B,22
7/6/19,385087,0,B,10
7/5/19,675404,0,B,20
7/4/19,806099,0,B,22
7/3/19,288620,0,B,10
7/2/19,508010,0,B,20
7/1/19,172028,0,A,22
6/30/19,674789,1,A,10
6/29/19,399634,0,A,20
6/28/19,780499,0,A,22
6/27/19,874226,1,A,10
6/26/19,660032,1,A,20
6/25/19,730468,1,A,22
6/24/19,955082,1,A,10
6/23/19,24548,0,A,20
6/22/19,890875,0,A,22
6/21/19,882443,0,A,10
6/20/19,161285,1,A,20
6/19/19,909636,1,A,22
6/18/19,348804,0,A,10
6/17/19,265126,0,A,20
6/16/19,620349,0,A,22
6/15/19,758436,0,A,10
6/14/19,634364,1,A,20
6/13/19,957697,0,B,22
6/12/19,888411,0,B,10
6/11/19,916614,0,B,20
6/10/19,87951,0,B,22
6/9/19,273699,0,B,10
6/8/19,26781,0,B,20
6/7/19,956490,0,B,22
6/6/19,871734,0,B,10
6/5/19,470689,0,B,20
6/4/19,904816,0,B,22
6/3/19,544963,0,B,10
6/2/19,542681,0,B,20
6/1/19,242589,0,B,22
5/31/19,283098,0,B,10
5/30/19,386265,0,B,20
5/29/19,528455,0,B,22
5/28/19,914139,0,B,10
5/27/19,551886,0,B,20
5/26/19,176678,0,B,22
5/25/19,581376,0,B,10
5/24/19,766900,0,B,20
5/23/19,869931,0,B,22
5/22/19,951267,0,A,10
5/21/19,850511,1,A,20
5/20/19,982786,0,A,22
5/19/19,58491,0,A,10
5/18/19,101831,1,A,20
5/17/19,348493,1,A,22
5/16/19,48648,1,A,10
5/15/19,266248,1,A,20
5/14/19,546093,0,A,22
5/13/19,926565,0,A,10
5/12/19,927201,0,A,20
5/11/19,718487,1,A,22
5/10/19,616401,1,A,10
5/9/19,139362,0,A,20
5/8/19,736406,1,A,22
5/7/19,10916,0,A,10
5/6/19,159650,0,A,20
5/5/19,767703,1,A,22
5/4/19,498070,0,B,10
5/3/19,296724,0,B,20
5/2/19,872482,0,B,22
5/1/19,814432,0,B,10
4/30/19,778422,0,B,20
4/29/19,890872,0,B,22
4/28/19,756803,0,B,10
4/27/19,985499,0,B,20
4/26/19,795797,0,B,22
4/25/19,477952,0,B,10
4/24/19,522377,0,B,20
4/23/19,411554,0,B,22
4/22/19,291887,0,B,10
4/21/19,759032,0,B,20
4/20/19,58046,0,B,22
4/19/19,955980,0,B,10
4/18/19,489785,0,B,20
4/17/19,537597,0,B,22
4/16/19,362408,0,B,10
4/15/19,964951,0,B,20
4/14/19,584010,0,B,22
4/13/19,259897,0,B,10
4/12/19,208087,0,A,20
4/11/19,848517,1,A,22
4/10/19,243297,0,A,10
4/9/19,581509,0,A,20
4/8/19,488174,1,A,22
4/7/19,660645,1,A,10
4/6/19,406605,1,A,20
4/5/19,266196,1,A,22
4/4/19,130894,0,A,10
4/3/19,93529,0,A,20
4/2/19,758907,0,A,22
4/1/19,92988,1,A,10
3/31/19,222898,1,A,20
3/30/19,267094,0,A,22
3/29/19,173213,0,A,10
3/28/19,117368,0,A,20
3/27/19,809895,0,A,22
3/26/19,169638,1,A,10
3/25/19,181812,0,B,20
3/24/19,485445,0,B,22
3/23/19,661870,0,B,10
3/22/19,180347,0,B,20
3/21/19,475633,0,B,22
3/20/19,242309,0,B,10
3/19/19,539104,0,B,20
3/18/19,92335,0,B,22
3/17/19,646663,0,B,10
3/16/19,643386,0,B,20
3/15/19,94697,0,B,22
3/14/19,54044,0,B,10
3/13/19,213236,0,B,20
3/12/19,677864,0,B,22
3/11/19,811462,0,B,10
3/10/19,41962,0,B,20
3/9/19,749913,0,B,22
3/8/19,644555,0,B,10
3/7/19,345676,0,B,20
3/6/19,776433,0,B,22
3/5/19,645404,0,B,10
3/4/19,213506,0,B,20
3/3/19,327870,0,A,22
3/2/19,722267,1,A,10
3/1/19,655627,0,A,20
2/28/19,843701,0,A,22
2/27/19,507079,1,A,10
2/26/19,429196,1,A,20
2/25/19,985922,1,A,22
2/24/19,144208,1,A,10
2/23/19,758553,0,A,20
2/22/19,397252,0,A,22
2/21/19,41623,0,A,10
2/20/19,172631,1,A,20
2/19/19,896563,1,A,22
2/18/19,665416,0,A,10
2/17/19,208076,0,A,20
2/16/19,522017,0,A,22
2/15/19,651990,0,A,10
2/14/19,999922,1,A,20
2/13/19,954683,0,B,22
2/12/19,100265,0,B,10
2/11/19,903571,0,B,20
2/10/19,317193,0,B,22
2/9/19,605453,0,B,10
2/8/19,919374,0,B,20
2/7/19,66719,1,B,22
2/6/19,256551,0,B,10
2/5/19,15847,0,B,20
2/4/19,122776,0,B,22
2/3/19,242750,0,B,10
2/2/19,178753,0,B,20
2/1/19,32922,0,B,22
1/31/19,292115,0,B,10
1/30/19,256432,0,B,20
1/29/19,312475,0,B,22
1/28/19,531170,0,B,10
1/27/19,526895,0,B,20
1/26/19,423171,0,B,22
1/25/19,564930,0,B,10
1/24/19,513896,0,B,20
1/23/19,120919,0,B,22
1/22/19,623557,0,A,10
1/21/19,839920,1,A,20
1/20/19,444780,0,A,22
1/19/19,671352,0,A,10
1/18/19,928747,1,A,20
1/17/19,721776,1,A,22
1/16/19,903197,1,A,10
1/15/19,73170,1,A,20
1/14/19,744681,0,A,22
1/13/19,855416,0,A,10
1/12/19,697341,0,A,20
1/11/19,31449,1,A,22
1/10/19,4496,1,A,10
1/9/19,593558,0,A,20
1/8/19,249585,0,A,22
1/7/19,951259,0,A,10
1/6/19,306208,0,A,20
1/5/19,289570,1,A,22
1/4/19,529938,0,B,10
1/3/19,355341,0,B,20
1/2/19,371464,0,B,22
1/1/19,509918,0,B,10
12/31/18,833651,0,B,20
12/30/18,295428,0,B,22
12/29/18,512020,0,B,10
12/28/18,880025,0,B,20
12/27/18,937080,0,B,22
12/26/18,311932,0,B,10
12/25/18,385808,0,B,20
12/24/18,620470,0,B,22
12/23/18,851857,0,B,10
12/22/18,332109,0,B,20
12/21/18,291516,0,B,22
12/20/18,657831,0,B,10
12/19/18,897435,0,B,20
12/18/18,944548,0,B,22
12/17/18,276636,0,B,10
12/16/18,66921,0,B,20
12/15/18,110142,0,B,22
12/14/18,894056,0,B,10
12/13/18,495711,0,A,20
12/12/18,935091,1,A,22
12/11/18,442306,0,A,10
12/10/18,898065,0,A,20
12/9/18,945479,1,A,22
12/8/18,792192,1,A,10
12/7/18,946818,1,A,20
12/6/18,301885,1,A,22
12/5/18,875648,0,A,10
12/4/18,593870,0,A,20
12/3/18,707609,0,A,22
12/2/18,509498,1,A,10
12/1/18,121903,1,A,20
11/30/18,161096,0,A,22
11/29/18,788983,0,A,10
11/28/18,168946,0,A,20
11/27/18,594573,0,A,22
11/26/18,701875,1,A,10
11/25/18,582293,0,B,20
11/24/18,925576,0,B,22
11/23/18,453800,0,B,10
11/22/18,92164,0,B,20
11/21/18,541389,0,B,22
11/20/18,661973,0,B,10
11/19/18,109613,0,B,20
11/18/18,693580,0,B,22
11/17/18,190850,0,B,10
11/16/18,710045,0,B,20
11/15/18,220832,0,B,22
11/14/18,701478,0,B,10
11/13/18,713536,0,B,20
11/12/18,938992,0,B,22
11/11/18,800814,0,B,10
11/10/18,673394,0,B,20
11/9/18,332825,1,B,22
11/8/18,594151,0,B,10
11/7/18,982469,0,B,20
11/6/18,468754,0,B,22
11/5/18,901079,0,B,10
11/4/18,182599,0,B,20
11/3/18,797042,0,A,22
11/2/18,425548,1,A,10
11/1/18,284649,0,A,20
10/31/18,320508,0,A,22
10/30/18,472923,1,A,10
10/29/18,489736,1,A,20
10/28/18,878207,1,A,22
10/27/18,958545,1,A,10
10/26/18,797712,0,A,20
10/25/18,586942,0,A,22
10/24/18,591482,0,A,10
10/23/18,9659,1,A,20
10/22/18,47334,1,A,22
10/21/18,63920,0,A,10
10/20/18,646174,0,A,20
10/19/18,867034,0,A,22
10/18/18,199805,0,A,10
10/17/18,667434,1,A,20
10/16/18,73464,0,B,22
10/15/18,38607,0,B,10
10/14/18,190829,0,B,20
10/13/18,188471,0,B,22
10/12/18,535719,0,B,10
10/11/18,313235,0,B,20
10/10/18,304426,0,B,22
10/9/18,26831,0,B,10
10/8/18,897183,0,B,20
10/7/18,747640,0,B,22
10/6/18,248184,0,B,10
10/5/18,698021,0,B,20
10/4/18,230438,0,B,22
10/3/18,565396,0,B,10
10/2/18,869632,0,B,20
10/1/18,529695,0,B,22
9/30/18,526517,0,B,10
9/29/18,512778,0,B,20
9/28/18,350278,0,B,22
9/27/18,945085,0,B,10
9/26/18,726988,0,B,20
9/25/18,104826,0,B,22
9/24/18,614749,0,A,10
9/23/18,210443,1,A,20
9/22/18,416672,0,A,22
9/21/18,821445,0,A,10
9/20/18,467504,1,A,20
9/19/18,813127,1,A,22
9/18/18,784859,1,A,10
9/17/18,447683,1,A,20
9/16/18,201570,0,A,22
9/15/18,442810,0,A,10
9/14/18,43968,0,A,20
9/13/18,910751,1,A,22
9/12/18,314552,1,A,10
9/11/18,785921,0,A,20
9/10/18,231186,0,A,22
9/9/18,473713,1,A,10
9/8/18,168812,0,A,20
9/7/18,619684,1,A,22
9/6/18,388478,0,B,10
9/5/18,488659,0,B,20
9/4/18,476448,0,B,22
9/3/18,691284,0,B,10
9/2/18,716228,0,B,20
9/1/18,168760,0,B,22
8/31/18,518014,0,B,10
8/30/18,387666,0,B,20
8/29/18,627250,0,B,22
8/28/18,890208,0,B,10
8/27/18,231638,0,B,20
8/26/18,809455,0,B,22
8/25/18,413601,0,B,10
8/24/18,789710,0,B,20
8/23/18,182359,0,B,22
8/22/18,295737,0,B,10
8/21/18,495054,0,B,20
8/20/18,524213,0,B,22
8/19/18,89292,0,B,10
8/18/18,348226,0,B,20
8/17/18,60628,0,B,22
8/16/18,705345,0,B,10
8/15/18,787437,0,A,20
8/14/18,906773,1,A,22
8/13/18,230445,0,A,10
8/12/18,911595,0,A,20
8/11/18,704947,1,A,22
8/10/18,98608,1,A,10
8/9/18,424334,1,A,20
8/8/18,672554,1,A,22
8/7/18,831656,0,A,10
8/6/18,683455,0,A,20
8/5/18,406486,0,A,22
8/4/18,754414,1,A,10
8/3/18,267379,1,A,20
8/2/18,513092,0,A,22
8/1/18,762921,0,A,10
7/31/18,899437,0,A,20
7/30/18,700599,0,A,22
7/29/18,895518,1,A,10
7/28/18,978354,0,B,20
7/27/18,253500,0,B,22
7/26/18,415500,0,B,10
7/25/18,916291,0,B,20
7/24/18,500743,0,B,22
7/23/18,613516,0,B,10
7/22/18,460819,0,B,20
7/21/18,248904,0,B,22
7/20/18,523753,0,B,10
7/19/18,47579,0,B,20
7/18/18,67101,0,B,22
7/17/18,666723,0,B,10
7/16/18,946467,0,B,20
7/15/18,629103,0,B,22
7/14/18,506438,0,B,10
7/13/18,138408,0,B,20
7/12/18,840046,0,B,22
7/11/18,614217,0,B,10
7/10/18,843702,0,B,20
7/9/18,656289,0,B,22
7/8/18,965774,0,B,10
7/7/18,195039,0,B,20
7/6/18,85109,0,A,22
7/5/18,870337,1,A,10
7/4/18,290174,0,A,20
7/3/18,462612,0,A,22
7/2/18,679982,1,A,10
7/1/18,606220,1,A,20
6/30/18,449218,1,A,22
6/29/18,695389,1,A,10
6/28/18,708375,0,A,20
6/27/18,336160,0,A,22
6/26/18,109110,0,A,10
6/25/18,111304,1,A,20
6/24/18,134087,1,A,22
6/23/18,9404,0,A,10
6/22/18,466410,0,A,20
6/21/18,868386,0,A,22
6/20/18,248233,0,A,10
6/19/18,946017,1,A,20
6/18/18,701591,0,B,22
6/17/18,130637,0,B,10
6/16/18,698975,0,B,20
6/15/18,168441,0,B,22
6/14/18,41280,0,B,10
6/13/18,64516,0,B,20
6/12/18,792663,0,B,22
6/11/18,571537,0,B,10
6/10/18,669962,0,B,20
6/9/18,668526,0,B,22
6/8/18,699604,0,B,10
6/7/18,576878,0,B,20
6/6/18,508467,0,B,22
6/5/18,676250,0,B,10
6/4/18,962979,0,B,20
6/3/18,454251,0,B,22
6/2/18,963939,0,B,10
6/1/18,649332,0,B,20
5/31/18,849628,0,B,22
5/30/18,956598,0,B,10
5/29/18,651143,0,B,20
5/28/18,504498,0,B,22
5/27/18,143920,0,A,10
5/26/18,561793,1,A,20
5/25/18,740005,0,A,22
5/24/18,573583,0,A,10
5/23/18,722608,1,A,20
5/22/18,134211,1,A,22
5/21/18,558587,1,A,10
5/20/18,982577,1,A,20
5/19/18,259080,0,A,22
5/18/18,851935,0,A,10
5/17/18,481401,0,A,20
5/16/18,366205,1,A,22
5/15/18,169271,1,A,10
5/14/18,487924,0,A,20
5/13/18,295026,0,A,22
5/12/18,236094,0,A,10
5/11/18,545620,0,A,20
5/10/18,757925,1,A,22
5/9/18,812244,0,B,10
5/8/18,42829,0,B,20
5/7/18,876162,0,B,22
5/6/18,990868,0,B,10
5/5/18,674499,0,B,20
5/4/18,885698,0,B,22
5/3/18,380808,0,B,10
5/2/18,327601,0,B,20
5/1/18,318528,0,B,22
4/30/18,576997,0,B,10
4/29/18,672823,0,B,20
4/28/18,934985,0,B,22
4/27/18,649587,0,B,10
4/26/18,950367,0,B,20
4/25/18,89847,0,B,22
4/24/18,166788,0,B,10
4/23/18,580253,0,B,20
4/22/18,811233,0,B,22
4/21/18,907171,0,B,10
4/20/18,245137,0,B,20
4/19/18,345483,0,B,22
4/18/18,701041,0,B,10
4/17/18,416120,0,A,20
4/16/18,896747,1,A,22
4/15/18,516284,0,A,10
4/14/18,744276,0,A,20
4/13/18,922578,1,A,22
4/12/18,552303,1,A,10
4/11/18,915318,1,A,20
4/10/18,738050,1,A,22
4/9/18,99846,0,A,10
4/8/18,135046,0,A,20
4/7/18,824283,0,A,22
4/6/18,287499,1,A,10
4/5/18,109508,1,A,20
4/4/18,944262,0,A,22
4/3/18,187279,0,A,10
4/2/18,423559,0,A,20
4/1/18,319864,0,A,22
3/31/18,865276,1,A,10
3/30/18,16343,0,B,20
3/29/18,576860,0,B,22
3/28/18,591215,0,B,10
3/27/18,967844,0,B,20
3/26/18,506896,0,B,22
3/25/18,56247,0,B,10
3/24/18,43383,0,B,20
3/23/18,126095,0,B,22
3/22/18,317314,0,B,10
3/21/18,53086,0,B,20
3/20/18,844814,0,B,22
3/19/18,816850,0,B,10
3/18/18,365459,0,B,20
3/17/18,491495,0,B,22
3/16/18,730711,0,B,10
3/15/18,354362,0,B,20
3/14/18,744693,0,B,22
3/13/18,452837,0,B,10
3/12/18,156977,0,B,20
3/11/18,462337,0,B,22
3/10/18,834721,0,B,10
3/9/18,864199,0,B,20
3/8/18,367320,0,A,22
3/7/18,140683,1,A,10
3/6/18,809283,0,A,20
3/5/18,99060,0,A,22
3/4/18,494091,1,A,10
3/3/18,247203,1,A,20
3/2/18,921793,1,A,22
3/1/18,830379,1,A,10
2/28/18,847666,0,A,20
2/27/18,576202,0,A,22
2/26/18,575645,0,A,10
